date,SC_ET_walls_south_Q_kWh,SC_ET_walls_south_m2,SC_ET_walls_north_Q_kWh,SC_ET_walls_north_m2,SC_ET_roofs_top_Q_kWh,SC_ET_roofs_top_m2,SC_ET_walls_east_Q_kWh,SC_ET_walls_east_m2,SC_ET_walls_west_Q_kWh,SC_ET_walls_west_m2,area_SC_m2,radiation_kWh,Q_SC_gen_kWh,mcp_SC_kWperC,Eaux_SC_kWh,Q_SC_l_kWh,T_SC_sup_C,T_SC_re_C
2009-01-02 07:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,0.00,0.00,0.00,0.00,0.00,75.00,nan
2009-01-02 08:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,0.00,0.00,0.00,0.00,0.00,75.00,nan
2009-01-02 09:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,106.65,0.00,0.00,0.00,0.00,75.00,nan
2009-01-02 10:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,181.01,0.00,0.00,0.00,0.00,75.00,nan
2009-01-02 11:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,222.52,0.00,0.00,0.00,0.00,75.00,nan
2009-01-02 12:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,216.22,0.00,0.00,0.00,0.00,75.00,nan
2009-01-02 13:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,199.84,0.00,0.00,0.00,0.00,75.00,nan
2009-01-02 14:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,148.36,0.00,0.00,0.00,0.00,75.00,nan
2009-01-02 15:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,10.45,0.00,0.00,0.00,0.00,75.00,nan
2009-01-02 16:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,0.00,0.00,0.00,0.00,0.00,75.00,nan
2009-01-02 17:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,0.00,0.00,0.00,0.00,0.00,75.00,nan
2009-01-02 18:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,0.00,0.00,0.00,0.00,0.00,75.00,nan
2009-01-02 19:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,0.00,0.00,0.00,0.00,0.00,75.00,nan
2009-01-02 20:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,0.00,0.00,0.00,0.00,0.00,75.00,nan
2009-01-02 21:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,0.00,0.00,0.00,0.00,0.00,75.00,nan
2009-01-02 22:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,0.00,0.00,0.00,0.00,0.00,75.00,nan
2009-01-02 23:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,0.00,0.00,0.00,0.00,0.00,75.00,nan
2009-01-03 00:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,0.00,0.00,0.00,0.00,0.00,75.00,nan
2009-01-03 01:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,0.00,0.00,0.00,0.00,0.00,75.00,nan
2009-01-03 02:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,0.00,0.00,0.00,0.00,0.00,75.00,nan
2009-01-03 03:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,0.00,0.00,0.00,0.00,0.00,75.00,nan
2009-01-03 04:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,0.00,0.00,0.00,0.00,0.00,75.00,nan
2009-01-03 05:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,0.00,0.00,0.00,0.00,0.00,75.00,nan
2009-01-03 06:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,0.00,0.00,0.00,0.00,0.00,75.00,nan
2009-01-03 07:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,0.00,0.00,0.00,0.00,0.00,75.00,nan
2009-01-03 08:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,0.00,0.00,0.00,0.00,0.00,75.00,nan
2009-01-03 09:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,110.40,0.00,0.00,0.00,0.00,75.00,nan
2009-01-03 10:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,207.88,0.00,0.00,0.00,0.00,75.00,nan
2009-01-03 11:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,273.18,0.00,0.00,0.00,0.00,75.00,nan
2009-01-03 12:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,292.34,0.00,0.00,0.00,0.00,75.00,nan
2009-01-03 13:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,233.13,0.00,0.00,0.00,0.00,75.00,nan
2009-01-03 14:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,145.07,0.00,0.00,0.00,0.00,75.00,nan
2009-01-03 15:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,10.39,0.00,0.00,0.00,0.00,75.00,nan
2009-01-03 16:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,0.00,0.00,0.00,0.00,0.00,75.00,nan
2009-01-03 17:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,0.00,0.00,0.00,0.00,0.00,75.00,nan
2009-01-03 18:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,0.00,0.00,0.00,0.00,0.00,75.00,nan
2009-01-03 19:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,0.00,0.00,0.00,0.00,0.00,75.00,nan
2009-01-03 20:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,0.00,0.00,0.00,0.00,0.00,75.00,nan
2009-01-03 21:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,0.00,0.00,0.00,0.00,0.00,75.00,nan
2009-01-03 22:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,0.00,0.00,0.00,0.00,0.00,75.00,nan
2009-01-03 23:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,0.00,0.00,0.00,0.00,0.00,75.00,nan
2009-01-04 00:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,0.00,0.00,0.00,0.00,0.00,75.00,nan
2009-01-04 01:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,0.00,0.00,0.00,0.00,0.00,75.00,nan
2009-01-04 02:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,0.00,0.00,0.00,0.00,0.00,75.00,nan
2009-01-04 03:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,0.00,0.00,0.00,0.00,0.00,75.00,nan
2009-01-04 04:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,0.00,0.00,0.00,0.00,0.00,75.00,nan
2009-01-04 05:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,0.00,0.00,0.00,0.00,0.00,75.00,nan
2009-01-04 06:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,0.00,0.00,0.00,0.00,0.00,75.00,nan
2009-01-04 07:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,0.00,0.00,0.00,0.00,0.00,75.00,nan
2009-01-04 08:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,0.00,0.00,0.00,0.00,0.00,75.00,nan
2009-01-04 09:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,0.00,0.00,0.00,0.00,0.00,75.00,nan
2009-01-04 10:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,74.71,0.00,0.00,0.00,0.00,75.00,nan
2009-01-04 11:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,96.82,0.00,0.00,0.00,0.00,75.00,nan
2009-01-04 12:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,94.09,0.00,0.00,0.00,0.00,75.00,nan
2009-01-04 13:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,96.73,0.00,0.00,0.00,0.00,75.00,nan
2009-01-04 14:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,73.34,0.00,0.00,0.00,0.00,75.00,nan
2009-01-04 15:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,0.00,0.00,0.00,0.00,0.00,75.00,nan
2009-01-04 16:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,0.00,0.00,0.00,0.00,0.00,75.00,nan
2009-01-04 17:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,0.00,0.00,0.00,0.00,0.00,75.00,nan
2009-01-04 18:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,0.00,0.00,0.00,0.00,0.00,75.00,nan
2009-01-04 19:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,0.00,0.00,0.00,0.00,0.00,75.00,nan
2009-01-04 20:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,0.00,0.00,0.00,0.00,0.00,75.00,nan
2009-01-04 21:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,0.00,0.00,0.00,0.00,0.00,75.00,nan
2009-01-04 22:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,0.00,0.00,0.00,0.00,0.00,75.00,nan
2009-01-04 23:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,0.00,0.00,0.00,0.00,0.00,75.00,nan
2009-01-05 00:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,0.00,0.00,0.00,0.00,0.00,75.00,nan
2009-01-05 01:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,0.00,0.00,0.00,0.00,0.00,75.00,nan
2009-01-05 02:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,0.00,0.00,0.00,0.00,0.00,75.00,nan
2009-01-05 03:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,0.00,0.00,0.00,0.00,0.00,75.00,nan
2009-01-05 04:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,0.00,0.00,0.00,0.00,0.00,75.00,nan
2009-01-05 05:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,0.00,0.00,0.00,0.00,0.00,75.00,nan
2009-01-05 06:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,0.00,0.00,0.00,0.00,0.00,75.00,nan
2009-01-05 07:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,0.00,0.00,0.00,0.00,0.00,75.00,nan
2009-01-05 08:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,0.00,0.00,0.00,0.00,0.00,75.00,nan
2009-01-05 09:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,0.00,0.00,0.00,0.00,0.00,75.00,nan
2009-01-05 10:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,115.77,0.00,0.00,0.00,0.00,75.00,nan
2009-01-05 11:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,156.97,0.00,0.00,0.00,0.00,75.00,nan
2009-01-05 12:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,149.79,0.00,0.00,0.00,0.00,75.00,nan
2009-01-05 13:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,130.77,0.00,0.00,0.00,0.00,75.00,nan
2009-01-05 14:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,126.47,0.00,0.00,0.00,0.00,75.00,nan
2009-01-05 15:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,0.00,0.00,0.00,0.00,0.00,75.00,nan
2009-01-05 16:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,0.00,0.00,0.00,0.00,0.00,75.00,nan
2009-01-05 17:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,0.00,0.00,0.00,0.00,0.00,75.00,nan
2009-01-05 18:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,0.00,0.00,0.00,0.00,0.00,75.00,nan
2009-01-05 19:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,0.00,0.00,0.00,0.00,0.00,75.00,nan
2009-01-05 20:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,0.00,0.00,0.00,0.00,0.00,75.00,nan
2009-01-05 21:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,0.00,0.00,0.00,0.00,0.00,75.00,nan
2009-01-05 22:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,0.00,0.00,0.00,0.00,0.00,75.00,nan
2009-01-05 23:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,0.00,0.00,0.00,0.00,0.00,75.00,nan
2009-01-06 00:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,0.00,0.00,0.00,0.00,0.00,75.00,nan
2009-01-06 01:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,0.00,0.00,0.00,0.00,0.00,75.00,nan
2009-01-06 02:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,0.00,0.00,0.00,0.00,0.00,75.00,nan
2009-01-06 03:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,0.00,0.00,0.00,0.00,0.00,75.00,nan
2009-01-06 04:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,0.00,0.00,0.00,0.00,0.00,75.00,nan
2009-01-06 05:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,0.00,0.00,0.00,0.00,0.00,75.00,nan
2009-01-06 06:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,0.00,0.00,0.00,0.00,0.00,75.00,nan
2009-01-06 07:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,0.00,0.00,0.00,0.00,0.00,75.00,nan
2009-01-06 08:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,0.00,0.00,0.00,0.00,0.00,75.00,nan
2009-01-06 09:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,88.28,0.00,0.00,0.00,0.00,75.00,nan
2009-01-06 10:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,189.34,0.00,0.00,0.00,0.00,75.00,nan
2009-01-06 11:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,240.23,0.00,0.00,0.00,0.00,75.00,nan
2009-01-06 12:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,285.76,0.00,0.00,0.00,0.00,75.00,nan
2009-01-06 13:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,217.04,0.00,0.00,0.00,0.00,75.00,nan
2009-01-06 14:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,145.84,0.00,0.00,0.00,0.00,75.00,nan
2009-01-06 15:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,79.07,0.00,0.00,0.00,0.00,75.00,nan
2009-01-06 16:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,0.00,0.00,0.00,0.00,0.00,75.00,nan
2009-01-06 17:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,0.00,0.00,0.00,0.00,0.00,75.00,nan
2009-01-06 18:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,0.00,0.00,0.00,0.00,0.00,75.00,nan
2009-01-06 19:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,0.00,0.00,0.00,0.00,0.00,75.00,nan
2009-01-06 20:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,0.00,0.00,0.00,0.00,0.00,75.00,nan
2009-01-06 21:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,0.00,0.00,0.00,0.00,0.00,75.00,nan
2009-01-06 22:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,0.00,0.00,0.00,0.00,0.00,75.00,nan
2009-01-06 23:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,0.00,0.00,0.00,0.00,0.00,75.00,nan
2009-01-07 00:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,0.00,0.00,0.00,0.00,0.00,75.00,nan
2009-01-07 01:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,0.00,0.00,0.00,0.00,0.00,75.00,nan
2009-01-07 02:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,0.00,0.00,0.00,0.00,0.00,75.00,nan
2009-01-07 03:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,0.00,0.00,0.00,0.00,0.00,75.00,nan
2009-01-07 04:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,0.00,0.00,0.00,0.00,0.00,75.00,nan
2009-01-07 05:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,0.00,0.00,0.00,0.00,0.00,75.00,nan
2009-01-07 06:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,0.00,0.00,0.00,0.00,0.00,75.00,nan
2009-01-07 07:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,0.00,0.00,0.00,0.00,0.00,75.00,nan
2009-01-07 08:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,0.00,0.00,0.00,0.00,0.00,75.00,nan
2009-01-07 09:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,108.00,0.00,0.00,0.00,0.00,75.00,nan
2009-01-07 10:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,201.86,0.00,0.00,0.00,0.00,75.00,nan
2009-01-07 11:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,357.52,0.00,0.00,0.00,0.00,75.00,nan
2009-01-07 12:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,290.39,0.00,0.00,0.00,0.00,75.00,nan
2009-01-07 13:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,111.31,0.00,0.00,0.00,0.00,75.00,nan
2009-01-07 14:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,137.20,0.00,0.00,0.00,0.00,75.00,nan
2009-01-07 15:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,79.64,0.00,0.00,0.00,0.00,75.00,nan
2009-01-07 16:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,0.00,0.00,0.00,0.00,0.00,75.00,nan
2009-01-07 17:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,0.00,0.00,0.00,0.00,0.00,75.00,nan
2009-01-07 18:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,0.00,0.00,0.00,0.00,0.00,75.00,nan
2009-01-07 19:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,0.00,0.00,0.00,0.00,0.00,75.00,nan
2009-01-07 20:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,0.00,0.00,0.00,0.00,0.00,75.00,nan
2009-01-07 21:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,0.00,0.00,0.00,0.00,0.00,75.00,nan
2009-01-07 22:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,0.00,0.00,0.00,0.00,0.00,75.00,nan
2009-01-07 23:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,0.00,0.00,0.00,0.00,0.00,75.00,nan
2009-01-08 00:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,0.00,0.00,0.00,0.00,0.00,75.00,nan
2009-01-08 01:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,0.00,0.00,0.00,0.00,0.00,75.00,nan
2009-01-08 02:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,0.00,0.00,0.00,0.00,0.00,75.00,nan
2009-01-08 03:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,0.00,0.00,0.00,0.00,0.00,75.00,nan
2009-01-08 04:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,0.00,0.00,0.00,0.00,0.00,75.00,nan
2009-01-08 05:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,0.00,0.00,0.00,0.00,0.00,75.00,nan
2009-01-08 06:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,0.00,0.00,0.00,0.00,0.00,75.00,nan
2009-01-08 07:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,0.00,0.00,0.00,0.00,0.00,75.00,nan
2009-01-08 08:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,0.00,0.00,0.00,0.00,0.00,75.00,nan
2009-01-08 09:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,78.59,0.00,0.00,0.00,0.00,75.00,nan
2009-01-08 10:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,158.04,0.00,0.00,0.00,0.00,75.00,nan
2009-01-08 11:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,213.82,0.00,0.00,0.00,0.00,75.00,nan
2009-01-08 12:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,224.77,0.00,0.00,0.00,0.00,75.00,nan
2009-01-08 13:00:00+01:00,0,0,0,0,0.00,1465.53,0,0,0,0,1465.53,198.44,0.00,0.00,0.00,0.00,75.00,nan
